year,state,state_po,state_fips,state_cen,state_ic,office,cd,stage,special,candidate,party,writein,mode,candidatevotes,totalvotes,voteshare,unofficial,version
2018,New York,NY,36,21,13,US House,3,gen,FALSE,Thomas R. Suozzi,reform,FALSE,total,343,267062,0.001284346,FALSE,20190110
2018,New York,NY,36,21,13,US House,3,gen,FALSE,NA,NA,TRUE,total,92,267062,0.000344489,FALSE,20190110
2018,New York,NY,36,21,13,US House,4,gen,FALSE,Kathleen M. Rice,democrat,FALSE,total,156728,260206,0.602322775,FALSE,20190110
2018,New York,NY,36,21,13,US House,4,gen,FALSE,Ameer N. Benno,republican,FALSE,total,90306,260206,0.347055794,FALSE,20190110
2018,New York,NY,36,21,13,US House,4,gen,FALSE,Ameer N. Benno,conservative,FALSE,total,9709,260206,0.037312745,FALSE,20190110
2018,New York,NY,36,21,13,US House,4,gen,FALSE,Kathleen M. Rice,women's equality,FALSE,total,2807,260206,0.010787607,FALSE,20190110
2018,New York,NY,36,21,13,US House,4,gen,FALSE,Ameer N. Benno,reform,FALSE,total,556,260206,0.002136769,FALSE,20190110
2018,New York,NY,36,21,13,US House,4,gen,FALSE,NA,NA,TRUE,total,100,260206,0.000384311,FALSE,20190110
2018,New York,NY,36,21,13,US House,5,gen,FALSE,Gregory W. Meeks,democrat,FALSE,total,160500,161471,0.993986536,FALSE,20190110
2018,New York,NY,36,21,13,US House,5,gen,FALSE,NA,NA,TRUE,total,971,161471,0.006013464,FALSE,20190110
2018,New York,NY,36,21,13,US House,6,gen,FALSE,Grace Meng,democrat,FALSE,total,104293,123421,0.845018271,FALSE,20190110
2018,New York,NY,36,21,13,US House,6,gen,FALSE,Thomas J. Hillgardner,green,FALSE,total,11209,123421,0.090819228,FALSE,20190110
2018,New York,NY,36,21,13,US House,6,gen,FALSE,Grace Meng,working families,FALSE,total,6429,123421,0.052090001,FALSE,20190110
2018,New York,NY,36,21,13,US House,6,gen,FALSE,Grace Meng,reform,FALSE,total,924,123421,0.00748657,FALSE,20190110
